time,ch1,ch2,ch3,ch4
15.08.2017 19:50:22.255,-7,-23,113,3
15.08.2017 19:50:22.505,-6,-8,59,14
15.08.2017 19:50:22.755,-14,-9,-289,30
15.08.2017 19:50:23.005,4,-1,36,28
15.08.2017 19:50:23.255,5,6,104,32
15.08.2017 19:50:23.505,-14,-21,-252,42
15.08.2017 19:50:23.755,-8,17,-39,32
15.08.2017 19:50:24.005,-6,-3,167,19
15.08.2017 19:50:24.255,-6,-13,-201,41
15.08.2017 19:50:24.505,-6,-12,-135,28
15.08.2017 19:50:24.755,6,15,169,5
15.08.2017 19:50:25.005,-9,-14,-160,65
15.08.2017 19:50:25.255,5,-3,-164,32
15.08.2017 19:50:25.505,5,14,213,37
15.08.2017 19:50:25.755,16,1,-135,18
15.08.2017 19:50:26.005,15,23,-229,14
15.08.2017 19:50:26.255,5,0,197,18
15.08.2017 19:50:26.505,15,21,-89,5
15.08.2017 19:50:26.755,6,2,-248,19
15.08.2017 19:50:27.005,5,-2,156,30
15.08.2017 19:50:27.255,4,-24,13,51
15.08.2017 19:50:27.505,-5,12,-295,41
15.08.2017 19:50:27.755,16,1,89,29
15.08.2017 19:50:28.005,-8,-28,111,43
15.08.2017 19:50:28.255,-17,-9,-280,14
15.08.2017 19:50:28.505,6,1,-20,30
15.08.2017 19:50:28.869,-16,-15,141,23
15.08.2017 19:50:29.119,-8,17,-259,8
15.08.2017 19:50:29.369,-6,3,-72,37
15.08.2017 19:50:29.619,-18,10,166,41
15.08.2017 19:50:29.869,-16,-9,-200,28
15.08.2017 19:50:30.119,-6,-1,-168,17
15.08.2017 19:50:30.369,5,-20,192,14
15.08.2017 19:50:30.619,-18,-25,-155,19
15.08.2017 19:50:30.869,-5,-9,-231,16
15.08.2017 19:50:31.119,-8,-30,183,32
15.08.2017 19:50:31.369,-3,31,-83,12
15.08.2017 19:50:31.619,-9,-57,-265,57
15.08.2017 19:50:31.869,-5,0,145,18
15.08.2017 19:50:32.119,4,9,-20,5
15.08.2017 19:50:32.369,-6,22,-257,17
15.08.2017 19:50:32.619,5,4,135,14
15.08.2017 19:50:32.888,-4,-52,-19,13
15.08.2017 19:50:33.138,4,41,-283,20
15.08.2017 19:50:33.388,5,-5,94,44
