time,ch1,ch2,ch3,ch4
15.08.2017 19:37:26.759,-14,-16,-290,27
15.08.2017 19:37:27.009,4,45,,15
15.08.2017 19:37:27.259,5,-12,53,5
15.08.2017 19:37:27.509,5,12,-279,16
15.08.2017 19:37:27.759,16,9,68,-11
15.08.2017 19:37:28.009,15,-22,101,37
15.08.2017 19:37:28.259,16,-4,-300,8
15.08.2017 19:37:28.509,5,-12,17,8
15.08.2017 19:37:29.009,14,-41,-298,26
15.08.2017 19:37:29.259,-8,7,-76,-6
15.08.2017 19:37:29.509,-5,12,185,29
15.08.2017 19:37:29.759,-6,10,-201,41
15.08.2017 19:37:30.009,-18,10,-145,41
15.08.2017 19:37:30.259,-6,3,214,72
15.08.2017 19:37:30.509,-5,-10,-146,29
15.08.2017 19:37:30.759,-5,4,-201,26
15.08.2017 19:37:31.009,-20,5,230,44
15.08.2017 19:37:31.259,-15,3,-94,27
15.08.2017 19:37:31.509,-25,-2,-246,11
15.08.2017 19:37:31.759,-8,-18,194,32
15.08.2017 19:37:32.009,15,-6,-50,20
15.08.2017 19:37:32.259,-5,-5,-276,57
15.08.2017 19:37:32.509,-18,8,113,19
15.08.2017 19:37:32.755,-4,-5,58,59
15.08.2017 19:37:33.005,-9,17,-289,19
15.08.2017 19:37:33.255,-5,-6,42,26
15.08.2017 19:37:33.505,5,8,124,19
15.08.2017 19:37:33.755,5,3,-281,25
15.08.2017 19:37:34.005,5,1,18,27
15.08.2017 19:37:34.505,-8,-11,-233,12
15.08.2017 19:37:34.755,16,14,-39,3
15.08.2017 19:37:35.005,27,1,172,-7
15.08.2017 19:37:35.255,16,19,-211,-4
15.08.2017 19:37:35.505,5,11,-146,5
15.08.2017 19:37:35.755,-5,1,208,8
15.08.2017 19:37:36.005,-19,24,-138,37
15.08.2017 19:37:36.255,5,0,-235,63
15.08.2017 19:37:36.505,5,1,196,40
15.08.2017 19:37:36.755,-5,4,-63,49
15.08.2017 19:37:37.005,-9,-26,-256,77
15.08.2017 19:37:37.255,-27,-1,136,42
15.08.2017 19:37:37.505,-19,-12,34,14
15.08.2017 19:37:37.755,-25,-24,-298,56
15.08.2017 19:37:38.005,-6,7,80,32
15.08.2017 19:37:38.255,5,-8,70,37
15.08.2017 19:37:38.505,-17,13,-291,38
15.08.2017 19:37:38.755,-16,-12,6,19
15.08.2017 19:37:39.005,-8,-5,123,19
15.08.2017 19:37:39.255,7,-10,-218,-7
15.08.2017 19:37:39.505,3,21,-64,15
15.08.2017 19:37:39.755,5,0,167,7
15.08.2017 19:37:40.005,4,-18,-178,44
15.08.2017 19:37:40.255,-5,11,-156,18
15.08.2017 19:37:40.505,4,11,241,15
15.08.2017 19:37:40.751,7,-8,-153,31
15.08.2017 19:37:41.001,15,18,-167,7
15.08.2017 19:37:41.251,16,5,199,13
15.08.2017 19:37:41.501,5,20,-111,-5
15.08.2017 19:37:41.751,-6,12,-247,27
15.08.2017 19:37:42.251,-9,12,-91,25
15.08.2017 19:37:42.501,5,-8,-270,37
15.08.2017 19:37:42.751,-5,-12,135,31
15.08.2017 19:37:43.001,-18,-28,15,44
15.08.2017 19:37:43.251,-17,-7,-302,36
15.08.2017 19:37:43.501,-18,-14,90,31
15.08.2017 19:37:43.751,-5,6,71,46
15.08.2017 19:37:44.001,-8,17,-271,32
15.08.2017 19:37:44.251,5,21,22,53
15.08.2017 19:37:44.501,-16,-9,142,50
15.08.2017 19:37:44.751,-21,-11,-272,66
15.08.2017 19:37:45.001,1,33,17,13
15.08.2017 19:37:45.251,-6,-10,172,15
15.08.2017 19:37:45.501,16,-12,-235,17
