time,ch1,ch2,ch3,ch4
15.08.2017 19:58:59.755,-6,-7,-248,36
15.08.2017 19:59:00.005,5,-14,-67,31
15.08.2017 19:59:00.255,5,-13,177,6
15.08.2017 19:59:00.505,16,-11,-224,5
15.08.2017 19:59:00.759,-1,10,-111,6
15.08.2017 19:59:01.009,14,-14,227,34
15.08.2017 19:59:01.259,16,-7,-171,25
15.08.2017 19:59:01.509,5,-8,-193,25
15.08.2017 19:59:01.759,16,15,189,24
15.08.2017 19:59:02.009,5,-4,-77,20
15.08.2017 19:59:02.259,5,-1,-262,20
15.08.2017 19:59:02.509,4,-14,186,16
15.08.2017 19:59:02.759,6,8,-28,14
15.08.2017 19:59:03.009,4,-18,-283,32
15.08.2017 19:59:03.259,5,-4,136,43
15.08.2017 19:59:03.759,-3,8,9,35
15.08.2017 19:59:04.009,-7,13,56,14
15.08.2017 19:59:04.259,-6,-14,113,20
15.08.2017 19:59:04.509,5,-2,-278,30
15.08.2017 19:59:05.009,-9,0,133,37
15.08.2017 19:59:05.259,-5,-11,-209,41
15.08.2017 19:59:05.509,-6,-30,-127,48
15.08.2017 19:59:05.759,-26,-5,176,14
15.08.2017 19:59:06.009,4,-30,-178,44
15.08.2017 19:59:06.259,-6,-9,-181,14
15.08.2017 19:59:06.509,-6,-3,202,-5
15.08.2017 19:59:06.759,-16,-9,-147,16
15.08.2017 19:59:07.009,-6,-1,-212,5
15.08.2017 19:59:07.259,5,14,181,14
15.08.2017 19:59:07.509,-6,-3,-100,31
15.08.2017 19:59:07.759,16,-11,-263,29
15.08.2017 19:59:08.009,5,-16,149,21
15.08.2017 19:59:08.259,5,-12,-2,5
15.08.2017 19:59:08.509,-4,8,-272,3
15.08.2017 19:59:08.861,5,-19,137,14
15.08.2017 19:59:09.111,4,-45,24,35
15.08.2017 19:59:09.361,5,-9,-302,26
15.08.2017 19:59:09.611,5,-8,81,37
15.08.2017 19:59:09.861,-5,-8,67,50
15.08.2017 19:59:10.111,4,11,-274,15
15.08.2017 19:59:10.361,-7,29,14,32
15.08.2017 19:59:10.611,5,-21,122,29
15.08.2017 19:59:10.861,-15,-15,-266,24
15.08.2017 19:59:11.111,4,-6,,44
15.08.2017 19:59:11.611,-8,-23,-269,74
15.08.2017 19:59:11.861,16,5,-128,36
15.08.2017 19:59:12.111,-6,-14,189,41
15.08.2017 19:59:12.361,5,-13,-157,30
15.08.2017 19:59:12.611,16,-12,-191,5
15.08.2017 19:59:12.892,-4,-5,159,15
15.08.2017 19:59:13.142,15,9,-100,-10
15.08.2017 19:59:13.392,-5,-4,-239,11
15.08.2017 19:59:13.642,5,12,185,40
15.08.2017 19:59:13.892,16,-16,-75,25
15.08.2017 19:59:14.142,6,-41,-258,19
15.08.2017 19:59:14.392,-9,10,173,27
15.08.2017 19:59:14.642,-6,-8,-6,14
15.08.2017 19:59:14.892,-5,-12,-294,8
15.08.2017 19:59:15.142,-8,-29,66,7
15.08.2017 19:59:15.392,-6,-31,83,14
15.08.2017 19:59:15.642,-5,1,-284,41
15.08.2017 19:59:15.892,-5,-6,21,25
15.08.2017 19:59:16.142,-8,-6,136,20
15.08.2017 19:59:16.392,-5,-17,-254,36
15.08.2017 19:59:16.642,4,30,-62,20
15.08.2017 19:59:17.005,14,25,-230,22
15.08.2017 19:59:17.255,-17,-31,-138,37
15.08.2017 19:59:17.505,-18,-14,190,42
15.08.2017 19:59:17.755,5,-14,-175,55
15.08.2017 19:59:18.005,-6,-24,-212,30
15.08.2017 19:59:18.255,5,-13,187,29
15.08.2017 19:59:18.505,-5,-10,-92,29
15.08.2017 19:59:18.755,5,-4,-261,10
15.08.2017 19:59:19.005,5,0,176,18
15.08.2017 19:59:19.255,4,-5,-16,-5
15.08.2017 19:59:19.505,16,14,-281,14
15.08.2017 19:59:19.755,16,2,121,40
15.08.2017 19:59:20.005,15,17,67,32
15.08.2017 19:59:20.255,5,-13,-290,41
15.08.2017 19:59:20.505,5,12,79,6
15.08.2017 19:59:20.864,16,11,65,9
15.08.2017 19:59:21.114,4,-41,-294,20
15.08.2017 19:59:21.364,5,-13,-23,18
15.08.2017 19:59:21.614,5,-11,141,40
15.08.2017 19:59:21.864,-2,23,-239,41
